date,invoice_id,customer_id,product_id,qty,unit_price_eur,discount_rate,total_eur,currency,payment_terms_days
2019-01-05,INV00000044,C0064,P002,3,91.99,0.0,275.97,EUR,15
2019-01-05,INV00000045,C0094,P030,2,139.26,0.0557,263.01,EUR,45
2019-01-05,INV00000046,C0104,P007,1,479.93,0.0962,433.75,EUR,30
2019-01-05,INV00000047,C0051,P029,2,685.26,0.0629,1284.31,EUR,30
2019-01-06,INV00000048,C0008,P014,2,389.57,0.1534,659.62,EUR,0
2019-01-06,INV00000049,C0043,P008,1,1134.56,0.0265,1104.44,EUR,30
2019-01-06,INV00000050,C0106,P013,4,105.28,0.0659,393.36,EUR,15
2019-01-06,INV00000051,C0068,P012,5,476.78,0.0042,2373.99,EUR,15
2019-01-07,INV00000052,C0042,P031,2,893.72,0.0617,1677.24,EUR,30
2019-01-07,INV00000053,C0104,P017,5,286.97,0.1095,1277.68,EUR,15
2019-01-07,INV00000054,C0052,P023,3,151.14,0.0,453.42,EUR,15
2019-01-07,INV00000055,C0036,P002,1,91.99,0.0242,89.76,EUR,30
2019-01-07,INV00000056,C0095,P011,1,439.8,0.0185,431.68,EUR,30
2019-01-07,INV00000057,C0094,P003,2,422.8,0.0589,795.77,EUR,30
2019-01-07,INV00000058,C0019,P001,1,508.53,0.0182,499.25,EUR,0
2019-01-07,INV00000059,C0014,P018,2,985.92,0.0525,1868.41,EUR,45
2019-01-07,INV00000060,C0064,P010,1,149.74,0.0,149.74,EUR,30
2019-01-07,INV00000061,C0041,P008,2,1134.56,0.014,2237.3,EUR,30
2019-01-07,INV00000062,C0023,P006,1,278.66,0.0606,261.77,EUR,45
2019-01-08,INV00000063,C0112,P007,1,479.93,0.0,479.93,EUR,30
2019-01-08,INV00000064,C0058,P009,3,133.87,0.1165,354.81,EUR,30
2019-01-08,INV00000065,C0055,P006,4,278.66,0.1724,922.43,EUR,60
2019-01-08,INV00000066,C0010,P013,3,105.28,0.1325,274.0,EUR,30
2019-01-08,INV00000067,C0077,P012,1,476.78,0.087,435.28,EUR,15
2019-01-08,INV00000068,C0047,P001,1,508.53,0.1541,430.17,EUR,30
2019-01-08,INV00000069,C0100,P012,2,476.78,0.0801,877.14,EUR,30
2019-01-08,INV00000070,C0008,P007,2,479.93,0.066,896.5,EUR,60
2019-01-08,INV00000071,C0070,P021,1,746.09,0.0824,684.58,EUR,45
2019-01-08,INV00000072,C0050,P019,2,132.08,0.0075,262.18,EUR,15
2019-01-09,INV00000073,C0118,P030,1,139.26,0.1198,122.58,EUR,15
2019-01-09,INV00000074,C0102,P031,2,893.72,0.0872,1631.52,EUR,30
2019-01-09,INV00000075,C0064,P026,4,1216.68,0.0599,4575.22,EUR,45
2019-01-09,INV00000076,C0044,P019,1,132.08,0.0856,120.78,EUR,30
2019-01-09,INV00000077,C0020,P024,2,365.58,0.1419,627.42,EUR,45
2019-01-09,INV00000078,C0119,P032,1,149.04,0.0,149.04,EUR,45
2019-01-09,INV00000079,C0078,P014,4,389.57,0.0136,1537.07,EUR,45
2019-01-09,INV00000080,C0084,P031,1,893.72,0.1414,767.37,EUR,30
2019-01-09,INV00000081,C0055,P001,4,508.53,0.0883,1854.56,EUR,30
2019-01-09,INV00000082,C0069,P021,3,746.09,0.1154,1979.91,EUR,30
2019-01-09,INV00000083,C0044,P014,1,389.57,0.0868,355.74,EUR,30
2019-01-10,INV00000084,C0003,P034,1,420.1,0.0671,391.92,EUR,45
2019-01-10,INV00000085,C0042,P010,1,149.74,0.0497,142.3,EUR,30
2019-01-10,INV00000086,C0055,P010,1,149.74,0.0196,146.8,EUR,60
2019-01-10,INV00000087,C0030,P023,1,151.14,0.0694,140.65,EUR,15
2019-01-11,INV00000088,C0037,P031,4,893.72,0.0844,3273.0,EUR,15
2019-01-11,INV00000089,C0027,P020,1,718.33,0.0,718.33,EUR,30
2019-01-11,INV00000090,C0049,P019,1,132.08,0.0544,124.89,EUR,45
2019-01-11,INV00000091,C0045,P021,2,746.09,0.0895,1358.65,EUR,45
2019-01-11,INV00000092,C0004,P028,2,273.69,0.0587,515.23,EUR,15
2019-01-11,INV00000093,C0047,P010,2,149.74,0.0978,270.2,EUR,15
2019-01-11,INV00000094,C0106,P025,3,503.87,0.1382,1302.75,EUR,15
2019-01-11,INV00000095,C0036,P006,5,278.66,0.0907,1266.94,EUR,30
2019-01-11,INV00000096,C0044,P005,1,609.82,0.0924,553.46,EUR,30
2019-01-12,INV00000097,C0018,P006,1,278.66,0.0656,260.38,EUR,0
2019-01-12,INV00000098,C0046,P005,3,609.82,0.0845,1674.93,EUR,30
2019-01-12,INV00000099,C0080,P007,4,479.93,0.0939,1739.5,EUR,15
2019-01-12,INV00000100,C0068,P002,3,91.99,0.0904,251.02,EUR,15
2019-01-12,INV00000101,C0026,P033,2,1052.88,0.0018,2102.05,EUR,15
2019-01-12,INV00000102,C0106,P003,1,422.8,0.0559,399.18,EUR,30
2019-01-12,INV00000103,C0060,P014,3,389.57,0.0494,1111.0,EUR,30
2019-01-12,INV00000104,C0009,P017,2,286.97,0.1068,512.66,EUR,45
2019-01-12,INV00000105,C0071,P002,5,91.99,0.1135,407.73,EUR,45
2019-01-12,INV00000106,C0086,P013,3,105.28,0.0761,291.82,EUR,45
2019-01-12,INV00000107,C0040,P015,2,268.29,0.1017,482.01,EUR,15
2019-01-12,INV00000108,C0100,P004,3,265.7,0.0083,790.52,EUR,15
2019-01-12,INV00000109,C0020,P028,3,273.69,0.0563,774.84,EUR,15
2019-01-12,INV00000110,C0034,P010,2,149.74,0.1008,269.29,EUR,30
2019-01-13,INV00000111,C0070,P022,2,432.16,0.1294,752.49,EUR,30
2019-01-13,INV00000112,C0053,P024,1,365.58,0.0436,349.64,EUR,45
2019-01-13,INV00000113,C0116,P022,3,432.16,0.1187,1142.59,EUR,30
2019-01-13,INV00000114,C0054,P023,1,151.14,0.0431,144.62,EUR,45
2019-01-13,INV00000115,C0038,P030,5,139.26,0.1436,596.31,EUR,30
2019-01-13,INV00000116,C0077,P011,2,439.8,0.1427,754.08,EUR,45
2019-01-13,INV00000117,C0035,P031,1,893.72,0.0164,879.06,EUR,45
2019-01-13,INV00000118,C0017,P030,1,139.26,0.0143,137.27,EUR,30
2019-01-14,INV00000119,C0035,P007,1,479.93,0.2105,378.92,EUR,45
2019-01-14,INV00000120,C0035,P035,1,159.46,0.0624,149.5,EUR,45
2019-01-14,INV00000121,C0030,P010,2,149.74,0.0,299.48,EUR,15
2019-01-14,INV00000122,C0019,P015,3,268.29,0.0372,774.93,EUR,60
2019-01-14,INV00000123,C0004,P019,1,132.08,0.0947,119.57,EUR,60
2019-01-15,INV00000124,C0036,P017,1,286.97,0.096,259.43,EUR,30
2019-01-15,INV00000125,C0039,P028,3,273.69,0.1444,702.53,EUR,45
2019-01-15,INV00000126,C0021,P018,1,985.92,0.0739,913.01,EUR,0
2019-01-15,INV00000127,C0040,P006,1,278.66,0.0925,252.88,EUR,0
2019-01-15,INV00000128,C0011,P016,1,135.76,0.0565,128.09,EUR,45
2019-01-15,INV00000129,C0042,P006,1,278.66,0.0253,271.61,EUR,30
2019-01-15,INV00000130,C0055,P029,1,685.26,0.0618,642.94,EUR,30
2019-01-15,INV00000131,C0071,P010,3,149.74,0.0,449.22,EUR,15
2019-01-15,INV00000132,C0076,P008,1,1134.56,0.0937,1028.3,EUR,15
2019-01-15,INV00000133,C0020,P007,3,479.93,0.0419,1379.43,EUR,30
2019-01-15,INV00000134,C0111,P014,4,389.57,0.0518,1477.5,EUR,15
2019-01-15,INV00000135,C0031,P026,4,1216.68,0.0518,4614.52,EUR,30
2019-01-15,INV00000136,C0045,P018,1,985.92,0.0658,921.09,EUR,45
2019-01-16,INV00000137,C0019,P014,2,389.57,0.1127,691.3,EUR,30
2019-01-16,INV00000138,C0102,P003,1,422.8,0.0012,422.3,EUR,45
2019-01-16,INV00000139,C0093,P023,2,151.14,0.1204,265.89,EUR,45
2019-01-16,INV00000140,C0057,P003,1,422.8,0.0086,419.16,EUR,30
2019-01-16,INV00000141,C0004,P008,1,1134.56,0.0039,1130.17,EUR,30
2019-01-16,INV00000142,C0063,P007,1,479.93,0.0375,461.95,EUR,15
2019-01-16,INV00000143,C0042,P013,1,105.28,0.1841,85.9,EUR,15
2019-01-17,INV00000144,C0051,P008,2,1134.56,0.0011,2266.63,EUR,15
2019-01-17,INV00000145,C0056,P022,1,432.16,0.1362,373.28,EUR,45
2019-01-17,INV00000146,C0013,P029,2,685.26,0.0962,1238.68,EUR,15
2019-01-17,INV00000147,C0057,P034,2,420.1,0.0139,828.55,EUR,30
2019-01-17,INV00000148,C0064,P018,3,985.92,0.0713,2746.79,EUR,15
2019-01-17,INV00000149,C0027,P007,1,479.93,0.1338,415.69,EUR,30
2019-01-17,INV00000150,C0070,P013,2,105.28,0.0494,200.16,EUR,45
2019-01-17,INV00000151,C0088,P014,2,389.57,0.0302,755.65,EUR,30
2019-01-17,INV00000152,C0043,P020,1,718.33,0.0681,669.43,EUR,0
2019-01-17,INV00000153,C0037,P006,2,278.66,0.0476,530.77,EUR,45
2019-01-17,INV00000154,C0064,P010,4,149.74,0.1425,513.63,EUR,30
2019-01-17,INV00000155,C0013,P033,1,1052.88,0.04,1010.75,EUR,30
2019-01-18,INV00000156,C0010,P001,4,508.53,0.0825,1866.26,EUR,15
2019-01-18,INV00000157,C0106,P031,2,893.72,0.048,1701.56,EUR,45
2019-01-18,INV00000158,C0018,P018,4,985.92,0.0217,3857.97,EUR,45
2019-01-18,INV00000159,C0070,P014,1,389.57,0.1007,350.34,EUR,30
2019-01-18,INV00000160,C0030,P020,3,718.33,0.0526,2041.59,EUR,15
2019-01-18,INV00000161,C0106,P028,2,273.69,0.1618,458.81,EUR,0
2019-01-18,INV00000162,C0113,P019,2,132.08,0.042,253.08,EUR,30
2019-01-18,INV00000163,C0095,P022,1,432.16,0.1184,381.0,EUR,30
2019-01-18,INV00000164,C0112,P008,1,1134.56,0.0,1134.56,EUR,0
2019-01-18,INV00000165,C0062,P034,3,420.1,0.1029,1130.62,EUR,45
2019-01-18,INV00000166,C0107,P023,2,151.14,0.0437,289.08,EUR,60
2019-01-19,INV00000167,C0080,P002,3,91.99,0.0981,248.89,EUR,45
2019-01-19,INV00000168,C0110,P005,1,609.82,0.1656,508.8,EUR,15
2019-01-19,INV00000169,C0087,P019,3,132.08,0.1158,350.35,EUR,60
2019-01-19,INV00000170,C0035,P011,1,439.8,0.0137,433.8,EUR,0
2019-01-19,INV00000171,C0081,P031,5,893.72,0.0882,4074.35,EUR,30
2019-01-19,INV00000172,C0047,P020,5,718.33,0.0,3591.65,EUR,30
2019-01-19,INV00000173,C0014,P004,1,265.7,0.0868,242.63,EUR,30
2019-01-19,INV00000174,C0024,P033,1,1052.88,0.0931,954.85,EUR,15
2019-01-19,INV00000175,C0034,P035,1,159.46,0.0988,143.71,EUR,60
2019-01-19,INV00000176,C0005,P009,1,133.87,0.0598,125.87,EUR,0
2019-01-19,INV00000177,C0018,P007,4,479.93,0.0491,1825.54,EUR,30
2019-01-19,INV00000178,C0079,P031,2,893.72,0.1815,1463.08,EUR,30
2019-01-19,INV00000179,C0075,P034,3,420.1,0.1401,1083.78,EUR,30
2019-01-19,INV00000180,C0021,P024,1,365.58,0.1027,328.02,EUR,15
2019-01-19,INV00000181,C0086,P033,1,1052.88,0.0,1052.88,EUR,30
2019-01-19,INV00000182,C0004,P018,3,985.92,0.0368,2849.01,EUR,0
2019-01-20,INV00000183,C0029,P008,1,1134.56,0.1863,923.2,EUR,30
2019-01-20,INV00000184,C0060,P032,1,149.04,0.0955,134.81,EUR,30
2019-01-20,INV00000185,C0090,P028,4,273.69,0.0879,998.57,EUR,30
2019-01-20,INV00000186,C0112,P034,2,420.1,0.072,779.69,EUR,30
2019-01-20,INV00000187,C0059,P017,2,286.97,0.1263,501.48,EUR,30
2019-01-21,INV00000188,C0027,P032,1,149.04,0.0,149.04,EUR,15
2019-01-21,INV00000189,C0034,P007,3,479.93,0.1089,1283.02,EUR,15
2019-01-21,INV00000190,C0091,P013,1,105.28,0.0789,96.97,EUR,15
2019-01-22,INV00000191,C0085,P020,1,718.33,0.0148,707.7,EUR,45
2019-01-22,INV00000192,C0070,P027,3,352.72,0.1363,913.98,EUR,15
2019-01-22,INV00000193,C0028,P017,1,286.97,0.0678,267.5,EUR,15
2019-01-22,INV00000194,C0023,P010,1,149.74,0.0974,135.15,EUR,15
2019-01-22,INV00000195,C0104,P013,3,105.28,0.0542,298.71,EUR,45
2019-01-22,INV00000196,C0075,P035,5,159.46,0.0615,748.28,EUR,30
2019-01-22,INV00000197,C0057,P018,2,985.92,0.0118,1948.65,EUR,15
2019-01-22,INV00000198,C0086,P008,6,1134.56,0.0648,6366.57,EUR,30
2019-01-22,INV00000199,C0076,P033,2,1052.88,0.0898,1916.71,EUR,15
2019-01-23,INV00000200,C0076,P034,3,420.1,0.1086,1123.46,EUR,45
2019-01-23,INV00000201,C0118,P010,1,149.74,0.0292,145.37,EUR,45
2019-01-23,INV00000202,C0051,P009,2,133.87,0.1065,239.23,EUR,30
2019-01-23,INV00000203,C0084,P009,4,133.87,0.0715,497.21,EUR,30
2019-01-23,INV00000204,C0044,P035,1,159.46,0.1295,138.81,EUR,30
2019-01-23,INV00000205,C0088,P029,1,685.26,0.064,641.38,EUR,30
2019-01-23,INV00000206,C0019,P014,1,389.57,0.0472,371.17,EUR,30
2019-01-24,INV00000207,C0064,P023,3,151.14,0.0819,416.27,EUR,15
2019-01-24,INV00000208,C0120,P026,1,1216.68,0.1332,1054.59,EUR,15
2019-01-24,INV00000209,C0021,P007,1,479.93,0.0798,441.65,EUR,45
2019-01-24,INV00000210,C0065,P029,1,685.26,0.0679,638.75,EUR,15
2019-01-24,INV00000211,C0003,P034,1,420.1,0.0,420.1,EUR,30
2019-01-25,INV00000212,C0011,P006,2,278.66,0.0796,512.95,EUR,45
2019-01-25,INV00000213,C0030,P030,1,139.26,0.1239,122.01,EUR,15
2019-01-25,INV00000214,C0012,P022,1,432.16,0.0842,395.79,EUR,45
2019-01-25,INV00000215,C0013,P026,4,1216.68,0.0,4866.72,EUR,15
2019-01-25,INV00000216,C0119,P009,3,133.87,0.0353,387.44,EUR,45
2019-01-25,INV00000217,C0096,P009,3,133.87,0.0894,365.7,EUR,60
2019-01-25,INV00000218,C0001,P026,4,1216.68,0.1296,4236.14,EUR,0
2019-01-26,INV00000219,C0074,P031,2,893.72,0.0,1787.44,EUR,45
2019-01-26,INV00000220,C0094,P011,3,439.8,0.0337,1274.94,EUR,0
2019-01-26,INV00000221,C0055,P008,3,1134.56,0.102,3056.47,EUR,45
2019-01-26,INV00000222,C0091,P002,2,91.99,0.0,183.98,EUR,45
2019-01-26,INV00000223,C0027,P027,2,352.72,0.0467,672.49,EUR,15
2019-01-26,INV00000224,C0096,P009,1,133.87,0.0136,132.05,EUR,30
2019-01-26,INV00000225,C0013,P023,3,151.14,0.083,415.79,EUR,15
2019-01-26,INV00000226,C0003,P032,3,149.04,0.0194,438.46,EUR,45
2019-01-26,INV00000227,C0082,P033,1,1052.88,0.0031,1049.64,EUR,0
2019-01-26,INV00000228,C0023,P005,1,609.82,0.1661,508.5,EUR,0
2019-01-27,INV00000229,C0064,P029,5,685.26,0.0,3426.3,EUR,30
2019-01-27,INV00000230,C0085,P013,1,105.28,0.029,102.23,EUR,15
2019-01-27,INV00000231,C0051,P006,2,278.66,0.1036,499.6,EUR,45
2019-01-27,INV00000232,C0106,P003,2,422.8,0.0313,819.15,EUR,45
2019-01-27,INV00000233,C0014,P011,2,439.8,0.1555,742.82,EUR,30
2019-01-27,INV00000234,C0019,P022,1,432.16,0.0112,427.32,EUR,30
2019-01-27,INV00000235,C0068,P024,1,365.58,0.0174,359.22,EUR,30
2019-01-27,INV00000236,C0053,P004,1,265.7,0.2105,209.78,EUR,15
2019-01-27,INV00000237,C0102,P030,3,139.26,0.126,365.15,EUR,45
2019-01-27,INV00000238,C0112,P018,3,985.92,0.0748,2736.6,EUR,30
2019-01-28,INV00000239,C0041,P018,3,985.92,0.1208,2600.53,EUR,0
2019-01-28,INV00000240,C0071,P001,3,508.53,0.0536,1443.77,EUR,15
2019-01-28,INV00000241,C0013,P033,1,1052.88,0.0921,955.89,EUR,30
2019-01-28,INV00000242,C0037,P015,3,268.29,0.072,746.93,EUR,45
2019-01-28,INV00000243,C0044,P035,1,159.46,0.0696,148.35,EUR,15
2019-01-28,INV00000244,C0077,P021,6,746.09,0.1022,4018.91,EUR,45
2019-01-28,INV00000245,C0027,P011,5,439.8,0.0141,2167.92,EUR,30
2019-01-29,INV00000246,C0021,P018,3,985.92,0.0406,2837.57,EUR,15
2019-01-29,INV00000247,C0052,P007,2,479.93,0.0716,891.1,EUR,30
2019-01-29,INV00000248,C0022,P001,1,508.53,0.0816,467.05,EUR,15
2019-01-29,INV00000249,C0083,P003,1,422.8,0.0354,407.83,EUR,0
2019-01-29,INV00000250,C0003,P030,1,139.26,0.1028,124.95,EUR,30
2019-01-29,INV00000251,C0046,P003,2,422.8,0.0595,795.25,EUR,45
2019-01-29,INV00000252,C0041,P020,1,718.33,0.0419,688.23,EUR,30
2019-01-29,INV00000253,C0024,P021,3,746.09,0.1413,1922.08,EUR,15
2019-01-29,INV00000254,C0089,P002,2,91.99,0.0,183.98,EUR,30
2019-01-29,INV00000255,C0030,P022,3,432.16,0.0308,1256.5,EUR,30
2019-01-29,INV00000256,C0084,P009,1,133.87,0.0409,128.39,EUR,30
2019-01-30,INV00000257,C0010,P007,4,479.93,0.101,1725.91,EUR,60
2019-01-30,INV00000258,C0062,P001,5,508.53,0.0,2542.65,EUR,30
2019-01-30,INV00000259,C0113,P022,2,432.16,0.0,864.32,EUR,0
2019-01-30,INV00000260,C0085,P026,3,1216.68,0.0408,3500.96,EUR,30
2019-01-30,INV00000261,C0003,P013,1,105.28,0.0498,100.03,EUR,45
2019-01-30,INV00000262,C0063,P026,2,1216.68,0.0119,2404.4,EUR,15
2019-01-30,INV00000263,C0071,P022,4,432.16,0.0,1728.64,EUR,30
2019-01-30,INV00000264,C0103,P012,1,476.78,0.17,395.7,EUR,45
2019-01-30,INV00000265,C0017,P010,3,149.74,0.1154,397.38,EUR,60
2019-01-30,INV00000266,C0031,P023,1,151.14,0.0782,139.32,EUR,30
2019-01-30,INV00000267,C0034,P005,1,609.82,0.0943,552.34,EUR,15
2019-01-31,INV00000268,C0026,P016,2,135.76,0.0752,251.09,EUR,30
2019-01-31,INV00000269,C0037,P014,1,389.57,0.0809,358.07,EUR,15
2019-01-31,INV00000270,C0041,P016,2,135.76,0.0574,255.94,EUR,30
2019-01-31,INV00000271,C0018,P001,2,508.53,0.002,1015.04,EUR,45
2019-01-31,INV00000272,C0101,P033,1,1052.88,0.1183,928.37,EUR,45
2019-01-31,INV00000273,C0109,P010,4,149.74,0.0367,576.97,EUR,30
2019-01-31,INV00000274,C0065,P006,2,278.66,0.0145,549.26,EUR,45
2019-01-31,INV00000275,C0062,P012,3,476.78,0.078,1318.82,EUR,30
2019-01-31,INV00000276,C0006,P004,4,265.7,0.0665,992.11,EUR,45
2019-02-01,INV00000277,C0016,P010,4,149.74,0.103,537.28,EUR,0
2019-02-01,INV00000278,C0049,P014,2,389.57,0.0203,763.31,EUR,15
2019-02-01,INV00000279,C0061,P013,2,105.28,0.001,210.34,EUR,45
2019-02-01,INV00000280,C0007,P021,2,746.09,0.1083,1330.51,EUR,30
2019-02-01,INV00000281,C0067,P005,2,609.82,0.0992,1098.71,EUR,45
2019-02-02,INV00000282,C0019,P025,3,503.87,0.089,1377.1,EUR,30
2019-02-02,INV00000283,C0094,P007,1,479.93,0.0965,433.6,EUR,15
2019-02-02,INV00000284,C0032,P002,1,91.99,0.0,91.99,EUR,15
2019-02-02,INV00000285,C0099,P002,1,91.99,0.0683,85.71,EUR,30
2019-02-03,INV00000286,C0042,P012,1,476.78,0.0894,434.18,EUR,15
2019-02-03,INV00000287,C0035,P027,4,352.72,0.0934,1279.12,EUR,45
2019-02-03,INV00000288,C0089,P030,4,139.26,0.0298,540.45,EUR,0
2019-02-04,INV00000289,C0054,P027,1,352.72,0.0343,340.62,EUR,0
2019-02-04,INV00000290,C0081,P027,3,352.72,0.0806,972.9,EUR,30
2019-02-04,INV00000291,C0103,P002,1,91.99,0.0945,83.3,EUR,30
2019-02-04,INV00000292,C0006,P031,2,893.72,0.0978,1612.7,EUR,30
2019-02-04,INV00000293,C0007,P015,1,268.29,0.0797,246.92,EUR,30
2019-02-04,INV00000294,C0074,P020,2,718.33,0.1869,1168.16,EUR,45
2019-02-04,INV00000295,C0060,P034,1,420.1,0.0824,385.46,EUR,15
2019-02-04,INV00000296,C0028,P029,3,685.26,0.0897,1871.35,EUR,30
2019-02-04,INV00000297,C0032,P003,2,422.8,0.0764,781.02,EUR,15
2019-02-04,INV00000298,C0009,P024,1,365.58,0.0162,359.65,EUR,45
2019-02-04,INV00000299,C0032,P007,3,479.93,0.0439,1376.55,EUR,15
2019-02-04,INV00000300,C0087,P035,4,159.46,0.2106,503.49,EUR,45
2019-02-04,INV00000301,C0079,P034,1,420.1,0.0161,413.33,EUR,30
2019-02-04,INV00000302,C0037,P007,3,479.93,0.1002,1295.59,EUR,30
2019-02-05,INV00000303,C0071,P023,1,151.14,0.0199,148.14,EUR,30
2019-02-05,INV00000304,C0049,P031,1,893.72,0.1705,741.3,EUR,30
2019-02-05,INV00000305,C0057,P011,1,439.8,0.02,430.99,EUR,15
2019-02-05,INV00000306,C0080,P014,1,389.57,0.0707,362.03,EUR,30
2019-02-05,INV00000307,C0030,P013,3,105.28,0.124,276.66,EUR,30
2019-02-05,INV00000308,C0015,P032,1,149.04,0.0483,141.84,EUR,30
2019-02-05,INV00000309,C0065,P035,1,159.46,0.0267,155.21,EUR,15
2019-02-05,INV00000310,C0085,P027,4,352.72,0.0743,1306.05,EUR,45
2019-02-05,INV00000311,C0063,P031,1,893.72,0.0775,824.42,EUR,15
2019-02-05,INV00000312,C0019,P031,2,893.72,0.0057,1777.33,EUR,30
2019-02-05,INV00000313,C0038,P008,1,1134.56,0.068,1057.36,EUR,45
2019-02-05,INV00000314,C0010,P007,3,479.93,0.1171,1271.15,EUR,15
2019-02-05,INV00000315,C0084,P002,1,91.99,0.0673,85.8,EUR,30
2019-02-05,INV00000316,C0119,P034,3,420.1,0.0109,1246.59,EUR,30
2019-02-05,INV00000317,C0068,P016,3,135.76,0.0769,375.96,EUR,15
2019-02-05,INV00000318,C0092,P013,1,105.28,0.0593,99.04,EUR,30
2019-02-06,INV00000319,C0102,P002,1,91.99,0.1016,82.65,EUR,0
2019-02-06,INV00000320,C0036,P010,2,149.74,0.0427,286.7,EUR,30
2019-02-06,INV00000321,C0100,P021,2,746.09,0.0929,1353.51,EUR,30
2019-02-06,INV00000322,C0026,P031,2,893.72,0.0923,1622.4,EUR,0
2019-02-06,INV00000323,C0063,P026,2,1216.68,0.1986,1950.03,EUR,45
2019-02-06,INV00000324,C0010,P004,1,265.7,0.0455,253.61,EUR,45
2019-02-06,INV00000325,C0089,P009,3,133.87,0.0707,373.23,EUR,60
2019-02-06,INV00000326,C0049,P006,1,278.66,0.1384,240.08,EUR,45
2019-02-07,INV00000327,C0111,P024,1,365.58,0.1817,299.15,EUR,30
2019-02-07,INV00000328,C0032,P017,1,286.97,0.0706,266.71,EUR,30
2019-02-07,INV00000329,C0005,P006,2,278.66,0.12,490.45,EUR,45
2019-02-07,INV00000330,C0012,P009,1,133.87,0.0454,127.79,EUR,45
2019-02-07,INV00000331,C0022,P035,1,159.46,0.1225,139.93,EUR,0
2019-02-07,INV00000332,C0102,P021,2,746.09,0.1106,1327.16,EUR,60
2019-02-07,INV00000333,C0117,P010,1,149.74,0.1075,133.65,EUR,30
2019-02-07,INV00000334,C0027,P028,3,273.69,0.0775,757.43,EUR,15
2019-02-07,INV00000335,C0105,P012,5,476.78,0.144,2040.61,EUR,15
2019-02-07,INV00000336,C0118,P019,1,132.08,0.1094,117.62,EUR,15
2019-02-07,INV00000337,C0012,P007,1,479.93,0.0523,454.85,EUR,30
