expense_id,date,category,department,vendor,amount_mad,currency,type
EXP000000116,2019-03-03,Travel,Operations,AWS,1424.99,MAD,Variable
EXP000000117,2019-03-04,Software,IT,Tax authority,1457.96,MAD,Variable
EXP000000118,2019-03-04,Marketing,Growth,Orange,732.45,MAD,Variable
EXP000000119,2019-03-05,Supplies,Operations,ONCF,375.51,MAD,Variable
EXP000000120,2019-03-05,Logistics,Operations,Air Maroc,796.26,MAD,Variable
EXP000000121,2019-03-06,Supplies,Operations,Google,954.11,MAD,Variable
EXP000000122,2019-03-06,Utilities,Facilities,Office landlord,1554.95,MAD,Variable
EXP000000123,2019-03-06,Utilities,Facilities,KPMG,707.25,MAD,Variable
EXP000000124,2019-03-07,Utilities,Facilities,Deloitte,1664.51,MAD,Variable
EXP000000125,2019-03-07,Supplies,Operations,Tax authority,539.45,MAD,Variable
EXP000000126,2019-03-08,Travel,Operations,ONCF,1091.69,MAD,Variable
EXP000000127,2019-03-08,ProfessionalServices,Admin,Meta,999.31,MAD,Variable
EXP000000128,2019-03-08,ProfessionalServices,Admin,DHL,312.3,MAD,Variable
EXP000000129,2019-03-09,Utilities,Facilities,Google,1467.98,MAD,Variable
EXP000000130,2019-03-10,Software,IT,Tax authority,480.18,MAD,Variable
EXP000000131,2019-03-10,Taxes,Admin,Air Maroc,1192.2,MAD,Variable
EXP000000132,2019-03-11,Taxes,Admin,Microsoft,545.27,MAD,Variable
EXP000000133,2019-03-12,Software,IT,Deloitte,495.49,MAD,Variable
EXP000000134,2019-03-12,ProfessionalServices,Admin,Local supplier,1108.6,MAD,Variable
EXP000000135,2019-03-12,Logistics,Operations,Air Maroc,450.54,MAD,Variable
EXP000000136,2019-03-12,Utilities,Facilities,AWS,259.91,MAD,Variable
EXP000000137,2019-03-12,Logistics,Operations,AWS,298.26,MAD,Variable
EXP000000138,2019-03-13,Utilities,Facilities,Air Maroc,50.0,MAD,Variable
EXP000000139,2019-03-14,ProfessionalServices,Admin,Meta,697.94,MAD,Variable
EXP000000140,2019-03-14,Travel,Operations,Local supplier,1179.51,MAD,Variable
EXP000000141,2019-03-14,Travel,Operations,KPMG,184.9,MAD,Variable
EXP000000142,2019-03-14,Marketing,Growth,Maroc Telecom,568.04,MAD,Variable
EXP000000143,2019-03-15,Marketing,Growth,Office landlord,356.59,MAD,Variable
EXP000000144,2019-03-15,Taxes,Admin,Orange,1314.66,MAD,Variable
EXP000000145,2019-03-16,Marketing,Growth,Tax authority,496.45,MAD,Variable
EXP000000146,2019-03-17,Logistics,Operations,Maroc Telecom,1810.61,MAD,Variable
EXP000000147,2019-03-17,Software,IT,Orange,1965.69,MAD,Variable
EXP000000148,2019-03-17,Logistics,Operations,Air Maroc,1952.95,MAD,Variable
EXP000000149,2019-03-18,Travel,Operations,Microsoft,1140.81,MAD,Variable
EXP000000150,2019-03-19,Utilities,Facilities,Tax authority,1385.45,MAD,Variable
EXP000000151,2019-03-20,Utilities,Facilities,Orange,1394.11,MAD,Variable
EXP000000152,2019-03-20,Travel,Operations,Microsoft,1952.53,MAD,Variable
EXP000000153,2019-03-20,Travel,Operations,DHL,319.11,MAD,Variable
EXP000000154,2019-03-20,ProfessionalServices,Admin,Deloitte,645.42,MAD,Variable
EXP000000155,2019-03-21,Supplies,Operations,ONCF,1182.97,MAD,Variable
EXP000000156,2019-03-21,Software,IT,Maroc Telecom,251.89,MAD,Variable
EXP000000157,2019-03-21,ProfessionalServices,Admin,Deloitte,2046.11,MAD,Variable
EXP000000158,2019-03-22,Supplies,Operations,Maroc Telecom,245.03,MAD,Variable
EXP000000159,2019-03-23,Taxes,Admin,Maroc Telecom,994.45,MAD,Variable
EXP000000160,2019-03-24,Marketing,Growth,Local supplier,1620.61,MAD,Variable
EXP000000161,2019-03-25,Logistics,Operations,Office landlord,638.48,MAD,Variable
EXP000000162,2019-03-25,Logistics,Operations,KPMG,527.76,MAD,Variable
EXP000000163,2019-03-25,Supplies,Operations,Local supplier,2469.39,MAD,Variable
EXP000000164,2019-03-26,Supplies,Operations,KPMG,1855.99,MAD,Variable
EXP000000165,2019-03-26,Taxes,Admin,Local supplier,1382.57,MAD,Variable
EXP000000166,2019-03-27,Travel,Operations,Tax authority,193.3,MAD,Variable
EXP000000167,2019-03-27,Software,IT,Meta,704.12,MAD,Variable
EXP000000168,2019-03-27,Marketing,Growth,Google,1333.48,MAD,Variable
EXP000000169,2019-03-28,Salaries,RH,Payroll,37191.68,MAD,Fixed
EXP000000170,2019-03-28,Supplies,Operations,Local supplier,834.06,MAD,Variable
EXP000000171,2019-03-29,Logistics,Operations,Maroc Telecom,69.9,MAD,Variable
EXP000000172,2019-03-30,Salaries,RH,Payroll,50972.9,MAD,Fixed
EXP000000173,2019-03-30,Logistics,Operations,Local supplier,2432.6,MAD,Variable
EXP000000174,2019-03-30,Marketing,Growth,Tax authority,1312.31,MAD,Variable
EXP000000175,2019-03-31,Salaries,RH,Payroll,47093.64,MAD,Fixed
EXP000000176,2019-03-31,Logistics,Operations,Maroc Telecom,584.89,MAD,Variable
EXP000000177,2019-03-31,Software,IT,Orange,1964.94,MAD,Variable
EXP000000178,2019-04-01,Rent,Facilities,Office landlord,12927.92,MAD,Fixed
EXP000000179,2019-04-01,Software,IT,Google,6189.76,MAD,Fixed
EXP000000180,2019-04-01,Travel,Operations,Tax authority,1229.89,MAD,Variable
EXP000000181,2019-04-01,Taxes,Admin,Deloitte,779.94,MAD,Variable
EXP000000182,2019-04-02,Utilities,Facilities,Microsoft,411.71,MAD,Variable
EXP000000183,2019-04-03,Supplies,Operations,AWS,985.39,MAD,Variable
EXP000000184,2019-04-03,Taxes,Admin,ONCF,1018.77,MAD,Variable
EXP000000185,2019-04-04,Marketing,Growth,Office landlord,1968.11,MAD,Variable
EXP000000186,2019-04-05,Logistics,Operations,Deloitte,1605.52,MAD,Variable
EXP000000187,2019-04-06,Utilities,Facilities,Air Maroc,1747.46,MAD,Variable
EXP000000188,2019-04-07,ProfessionalServices,Admin,AWS,1064.66,MAD,Variable
EXP000000189,2019-04-07,Travel,Operations,Air Maroc,1729.64,MAD,Variable
EXP000000190,2019-04-08,Travel,Operations,KPMG,1594.76,MAD,Variable
EXP000000191,2019-04-09,Marketing,Growth,Maroc Telecom,1729.1,MAD,Variable
EXP000000192,2019-04-11,Marketing,Growth,Tax authority,746.69,MAD,Variable
EXP000000193,2019-04-11,Software,IT,Microsoft,677.29,MAD,Variable
EXP000000194,2019-04-11,Travel,Operations,KPMG,1296.41,MAD,Variable
EXP000000195,2019-04-13,Travel,Operations,AWS,1787.09,MAD,Variable
EXP000000196,2019-04-14,Logistics,Operations,AWS,828.08,MAD,Variable
EXP000000197,2019-04-14,Logistics,Operations,Tax authority,1973.8,MAD,Variable
EXP000000198,2019-04-15,Software,IT,Maroc Telecom,1394.31,MAD,Variable
EXP000000199,2019-04-16,Marketing,Growth,Office landlord,1926.05,MAD,Variable
EXP000000200,2019-04-16,Marketing,Growth,Google,1461.94,MAD,Variable
EXP000000201,2019-04-17,Travel,Operations,Meta,155.1,MAD,Variable
EXP000000202,2019-04-17,Utilities,Facilities,AWS,899.52,MAD,Variable
EXP000000203,2019-04-18,Travel,Operations,DHL,2119.78,MAD,Variable
EXP000000204,2019-04-18,ProfessionalServices,Admin,Deloitte,591.16,MAD,Variable
EXP000000205,2019-04-18,Marketing,Growth,Air Maroc,1041.19,MAD,Variable
EXP000000206,2019-04-18,Travel,Operations,Google,93.47,MAD,Variable
EXP000000207,2019-04-19,Supplies,Operations,Tax authority,182.2,MAD,Variable
EXP000000208,2019-04-19,Utilities,Facilities,ONCF,852.57,MAD,Variable
EXP000000209,2019-04-19,Marketing,Growth,Air Maroc,1509.76,MAD,Variable
EXP000000210,2019-04-20,Taxes,Admin,AWS,1015.29,MAD,Variable
EXP000000211,2019-04-21,Utilities,Facilities,AWS,1753.66,MAD,Variable
EXP000000212,2019-04-21,Marketing,Growth,Orange,560.04,MAD,Variable
EXP000000213,2019-04-21,Travel,Operations,Tax authority,150.26,MAD,Variable
EXP000000214,2019-04-22,ProfessionalServices,Admin,DHL,451.26,MAD,Variable
EXP000000215,2019-04-24,ProfessionalServices,Admin,Microsoft,61.29,MAD,Variable
EXP000000216,2019-04-24,Taxes,Admin,Deloitte,967.96,MAD,Variable
EXP000000217,2019-04-24,Utilities,Facilities,KPMG,1009.51,MAD,Variable
EXP000000218,2019-04-26,Utilities,Facilities,Local supplier,1500.99,MAD,Variable
EXP000000219,2019-04-26,ProfessionalServices,Admin,KPMG,1053.43,MAD,Variable
EXP000000220,2019-04-27,Utilities,Facilities,Meta,1582.27,MAD,Variable
EXP000000221,2019-04-28,Salaries,RH,Payroll,43964.72,MAD,Fixed
EXP000000222,2019-04-28,Utilities,Facilities,ONCF,1175.31,MAD,Variable
EXP000000223,2019-04-28,Travel,Operations,Air Maroc,1082.11,MAD,Variable
EXP000000224,2019-04-28,Software,IT,Air Maroc,697.53,MAD,Variable
EXP000000225,2019-04-29,Utilities,Facilities,KPMG,686.1,MAD,Variable
EXP000000226,2019-04-30,Salaries,RH,Payroll,41431.71,MAD,Fixed
EXP000000227,2019-04-30,ProfessionalServices,Admin,Orange,989.57,MAD,Variable
EXP000000228,2019-04-30,Supplies,Operations,Office landlord,425.49,MAD,Variable
EXP000000229,2019-04-30,Utilities,Facilities,ONCF,1270.85,MAD,Variable
EXP000000230,2019-04-30,Logistics,Operations,KPMG,1856.83,MAD,Variable
EXP000000231,2019-05-01,Rent,Facilities,Office landlord,10986.39,MAD,Fixed
EXP000000232,2019-05-01,Software,IT,Google,7012.34,MAD,Fixed
EXP000000233,2019-05-03,Marketing,Growth,Air Maroc,488.15,MAD,Variable
EXP000000234,2019-05-04,Supplies,Operations,Orange,766.96,MAD,Variable
EXP000000235,2019-05-05,Supplies,Operations,Tax authority,338.93,MAD,Variable
EXP000000236,2019-05-05,Supplies,Operations,Meta,1675.0,MAD,Variable
EXP000000237,2019-05-05,Utilities,Facilities,Microsoft,1665.56,MAD,Variable
EXP000000238,2019-05-06,Marketing,Growth,DHL,854.32,MAD,Variable
EXP000000239,2019-05-07,Utilities,Facilities,Tax authority,294.0,MAD,Variable
EXP000000240,2019-05-07,Logistics,Operations,Office landlord,162.72,MAD,Variable
EXP000000241,2019-05-07,Taxes,Admin,Office landlord,335.65,MAD,Variable
EXP000000242,2019-05-08,Software,IT,Google,235.63,MAD,Variable
EXP000000243,2019-05-08,Travel,Operations,Tax authority,1049.06,MAD,Variable
EXP000000244,2019-05-09,Utilities,Facilities,Deloitte,2449.47,MAD,Variable
EXP000000245,2019-05-09,ProfessionalServices,Admin,Microsoft,536.95,MAD,Variable
EXP000000246,2019-05-09,ProfessionalServices,Admin,Maroc Telecom,2755.67,MAD,Variable
EXP000000247,2019-05-09,Marketing,Growth,KPMG,970.24,MAD,Variable
EXP000000248,2019-05-10,Utilities,Facilities,KPMG,1268.83,MAD,Variable
EXP000000249,2019-05-10,Marketing,Growth,ONCF,843.14,MAD,Variable
EXP000000250,2019-05-10,Supplies,Operations,Maroc Telecom,203.16,MAD,Variable
EXP000000251,2019-05-11,ProfessionalServices,Admin,Local supplier,135.5,MAD,Variable
EXP000000252,2019-05-11,Supplies,Operations,Tax authority,380.29,MAD,Variable
EXP000000253,2019-05-13,Marketing,Growth,Office landlord,869.78,MAD,Variable
EXP000000254,2019-05-13,Software,IT,ONCF,254.17,MAD,Variable
EXP000000255,2019-05-14,Supplies,Operations,Local supplier,1353.19,MAD,Variable
EXP000000256,2019-05-14,Software,IT,Orange,163.18,MAD,Variable
EXP000000257,2019-05-15,ProfessionalServices,Admin,ONCF,944.92,MAD,Variable
EXP000000258,2019-05-16,Travel,Operations,Meta,59.93,MAD,Variable
EXP000000259,2019-05-16,Taxes,Admin,Air Maroc,1063.23,MAD,Variable
EXP000000260,2019-05-17,Utilities,Facilities,ONCF,897.75,MAD,Variable
EXP000000261,2019-05-19,Marketing,Growth,Meta,1037.76,MAD,Variable
EXP000000262,2019-05-19,Taxes,Admin,KPMG,1665.0,MAD,Variable
EXP000000263,2019-05-19,ProfessionalServices,Admin,DHL,1349.66,MAD,Variable
EXP000000264,2019-05-20,Utilities,Facilities,Meta,872.69,MAD,Variable
EXP000000265,2019-05-20,Logistics,Operations,Tax authority,60.37,MAD,Variable
EXP000000266,2019-05-20,Marketing,Growth,Local supplier,1523.45,MAD,Variable
EXP000000267,2019-05-21,ProfessionalServices,Admin,Local supplier,1222.32,MAD,Variable
EXP000000268,2019-05-22,Marketing,Growth,Tax authority,1171.59,MAD,Variable
EXP000000269,2019-05-24,Software,IT,Air Maroc,943.71,MAD,Variable
EXP000000270,2019-05-24,Software,IT,Local supplier,1372.74,MAD,Variable
EXP000000271,2019-05-24,Supplies,Operations,AWS,237.11,MAD,Variable
EXP000000272,2019-05-25,Utilities,Facilities,Maroc Telecom,1286.98,MAD,Variable
EXP000000273,2019-05-25,Travel,Operations,Air Maroc,1239.71,MAD,Variable
EXP000000274,2019-05-26,Taxes,Admin,Meta,442.72,MAD,Variable
EXP000000275,2019-05-26,Taxes,Admin,ONCF,851.12,MAD,Variable
EXP000000276,2019-05-27,Software,IT,Local supplier,171.36,MAD,Variable
EXP000000277,2019-05-28,Salaries,RH,Payroll,40963.95,MAD,Fixed
EXP000000278,2019-05-28,Utilities,Facilities,Meta,511.88,MAD,Variable
EXP000000279,2019-05-29,Marketing,Growth,Local supplier,1125.8,MAD,Variable
EXP000000280,2019-05-29,Logistics,Operations,AWS,883.89,MAD,Variable
EXP000000281,2019-05-30,Salaries,RH,Payroll,42481.66,MAD,Fixed
EXP000000282,2019-05-30,Utilities,Facilities,Google,115.21,MAD,Variable
EXP000000283,2019-05-30,ProfessionalServices,Admin,Air Maroc,362.35,MAD,Variable
EXP000000284,2019-05-30,Supplies,Operations,Meta,162.13,MAD,Variable
EXP000000285,2019-05-31,Salaries,RH,Payroll,47922.18,MAD,Fixed
EXP000000286,2019-05-31,Travel,Operations,KPMG,1182.23,MAD,Variable
EXP000000287,2019-05-31,Supplies,Operations,Orange,2111.79,MAD,Variable
EXP000000288,2019-06-01,Rent,Facilities,Office landlord,10916.96,MAD,Fixed
EXP000000289,2019-06-01,Software,IT,Microsoft,6058.89,MAD,Fixed
EXP000000290,2019-06-01,Software,IT,Deloitte,677.49,MAD,Variable
EXP000000291,2019-06-01,Software,IT,Maroc Telecom,1307.96,MAD,Variable
EXP000000292,2019-06-02,Supplies,Operations,Maroc Telecom,1412.18,MAD,Variable
EXP000000293,2019-06-02,Logistics,Operations,Office landlord,2013.49,MAD,Variable
EXP000000294,2019-06-02,Taxes,Admin,Google,2052.96,MAD,Variable
EXP000000295,2019-06-03,Taxes,Admin,Air Maroc,421.87,MAD,Variable
EXP000000296,2019-06-03,Marketing,Growth,Local supplier,3175.9,MAD,Variable
EXP000000297,2019-06-05,Travel,Operations,KPMG,1502.29,MAD,Variable
EXP000000298,2019-06-05,Supplies,Operations,Microsoft,1103.11,MAD,Variable
EXP000000299,2019-06-06,Supplies,Operations,Tax authority,1201.83,MAD,Variable
EXP000000300,2019-06-06,Logistics,Operations,Microsoft,1456.31,MAD,Variable
EXP000000301,2019-06-08,Travel,Operations,Air Maroc,1021.04,MAD,Variable
EXP000000302,2019-06-08,Travel,Operations,AWS,1440.24,MAD,Variable
EXP000000303,2019-06-08,Taxes,Admin,Meta,933.97,MAD,Variable
EXP000000304,2019-06-10,Logistics,Operations,KPMG,50.0,MAD,Variable
EXP000000305,2019-06-10,Travel,Operations,KPMG,1263.97,MAD,Variable
EXP000000306,2019-06-11,Utilities,Facilities,Deloitte,479.97,MAD,Variable
EXP000000307,2019-06-11,Logistics,Operations,Tax authority,257.08,MAD,Variable
EXP000000308,2019-06-11,Logistics,Operations,Google,1023.73,MAD,Variable
EXP000000309,2019-06-11,Marketing,Growth,Maroc Telecom,665.33,MAD,Variable
EXP000000310,2019-06-11,ProfessionalServices,Admin,Meta,1100.54,MAD,Variable
EXP000000311,2019-06-12,Utilities,Facilities,Orange,124.16,MAD,Variable
EXP000000312,2019-06-15,Marketing,Growth,ONCF,1550.91,MAD,Variable
EXP000000313,2019-06-15,Utilities,Facilities,Deloitte,1295.92,MAD,Variable
EXP000000314,2019-06-16,Supplies,Operations,Deloitte,1391.5,MAD,Variable
EXP000000315,2019-06-16,Supplies,Operations,Microsoft,436.04,MAD,Variable
EXP000000316,2019-06-18,Marketing,Growth,AWS,235.3,MAD,Variable
EXP000000317,2019-06-19,Software,IT,Deloitte,804.63,MAD,Variable
EXP000000318,2019-06-19,ProfessionalServices,Admin,ONCF,2290.9,MAD,Variable
EXP000000319,2019-06-20,ProfessionalServices,Admin,ONCF,1237.05,MAD,Variable
EXP000000320,2019-06-20,Software,IT,DHL,486.08,MAD,Variable
EXP000000321,2019-06-20,Taxes,Admin,DHL,128.25,MAD,Variable
EXP000000322,2019-06-21,ProfessionalServices,Admin,Microsoft,805.47,MAD,Variable
EXP000000323,2019-06-21,Utilities,Facilities,Tax authority,1155.4,MAD,Variable
EXP000000324,2019-06-21,Utilities,Facilities,Maroc Telecom,343.67,MAD,Variable
EXP000000325,2019-06-21,Supplies,Operations,Deloitte,2074.05,MAD,Variable
EXP000000326,2019-06-22,Logistics,Operations,KPMG,611.5,MAD,Variable
EXP000000327,2019-06-23,Marketing,Growth,Google,1591.87,MAD,Variable
EXP000000328,2019-06-23,Logistics,Operations,Orange,653.29,MAD,Variable
EXP000000329,2019-06-24,Travel,Operations,Tax authority,437.14,MAD,Variable
EXP000000330,2019-06-24,Utilities,Facilities,Office landlord,835.38,MAD,Variable
EXP000000331,2019-06-25,Travel,Operations,Air Maroc,1944.38,MAD,Variable
EXP000000332,2019-06-25,Supplies,Operations,AWS,981.11,MAD,Variable
EXP000000333,2019-06-27,Marketing,Growth,Deloitte,1398.31,MAD,Variable
EXP000000334,2019-06-27,Logistics,Operations,DHL,1201.79,MAD,Variable
EXP000000335,2019-06-27,Logistics,Operations,Tax authority,2177.68,MAD,Variable
EXP000000336,2019-06-27,Supplies,Operations,DHL,1999.68,MAD,Variable
EXP000000337,2019-06-28,Salaries,RH,Payroll,38758.3,MAD,Fixed
EXP000000338,2019-06-28,Utilities,Facilities,Deloitte,78.38,MAD,Variable
EXP000000339,2019-06-29,Taxes,Admin,AWS,1088.75,MAD,Variable
